lpa_name,borough,actual_completion_date,development_type
Newham,Newham,31/03/2017,New Build
Merton,Merton,30/09/2017,New Build
Merton,Merton,08/04/2017,New Build
Merton,Merton,01/03/2017,New Build
Redbridge,Redbridge,23/01/2017,New Build
Newham,Newham,31/03/2017,New Build
Lewisham,Lewisham,22/02/2017,New Build
Tower Hamlets,Tower Hamlets,07/03/2017,Conversion
Southwark,Southwark,05/05/2017,New Build
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2017,New Build
Wandsworth,Wandsworth,31/03/2017,New Build
Brent,Brent,24/05/2017,New Build
Hillingdon,Hillingdon,22/01/2017,Conversion
Brent,Brent,01/04/2017,Conversion
Enfield,Enfield,28/02/2017,Conversion
Westminster,Westminster,01/02/2017,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2017,New Build
Hammersmith & Fulham,Hammersmith and Fulham,28/06/2017,New Build
Enfield,Enfield,31/05/2017,Conversion
Lambeth,Lambeth,12/02/2017,Conversion
Enfield,Enfield,01/08/2017,Conversion
Hackney,Hackney,18/08/2017,New Build
Hackney,Hackney,01/05/2017,Conversion
Wandsworth,Wandsworth,31/03/2017,New Build
Wandsworth,Wandsworth,31/03/2017,New Build
Lambeth,Lambeth,20/11/2017,New Build
Wandsworth,Wandsworth,03/02/2017,New Build
Hackney,Hackney,28/04/2017,Conversion
Lambeth,Lambeth,01/02/2017,Conversion
Enfield,Enfield,31/03/2017,New Build
Wandsworth,Wandsworth,15/11/2017,New Build
Newham,Newham,31/03/2017,New Build
Westminster,Westminster,27/03/2017,New Build
Brent,Brent,29/03/2017,Conversion
Enfield,Enfield,31/03/2017,Conversion
Croydon,Croydon,25/09/2017,Conversion
Wandsworth,Wandsworth,28/02/2017,New Build
Brent,Brent,07/12/2017,Conversion
Tower Hamlets,Tower Hamlets,08/08/2017,Conversion
Wandsworth,Wandsworth,31/03/2017,New Build
Newham,Newham,31/03/2017,New Build
Enfield,Enfield,31/03/2017,New Build
Wandsworth,Wandsworth,31/03/2017,New Build
Lambeth,Lambeth,01/03/2017,New Build
Brent,Brent,01/07/2017,Conversion
Wandsworth,Wandsworth,31/03/2017,New Build
Lambeth,Lambeth,15/11/2017,New Build
Wandsworth,Wandsworth,20/07/2017,New Build
Wandsworth,Wandsworth,02/03/2017,Conversion
Enfield,Enfield,01/02/2017,New Build
Wandsworth,Wandsworth,31/03/2017,New Build
Lewisham,Lewisham,30/01/2017,New Build
